TAXON	ORDER	no_times	no_loc	no_hyp	HYP	no_diet	DIET_1
Listriodon	Artiodactyla	3	57	1	1	1	3
Brachypotherium	Perissodactyla	7	69	2	1	1	3
Alicornops	Perissodactyla	8	44	2	1	1	3
Dicerorhinus	Perissodactyla	4	9	2	2	1	3
Anchitherium	Perissodactyla	6	119	1	1	1	3
Dorcatherium	Artiodactyla	7	93	1	1	1	3
Palaeomeryx	Artiodactyla	6	88	1	1	1	3
Micromeryx	Artiodactyla	7	78	1	1	1	3
Heteroprox	Artiodactyla	5	24	2	1	1	3
Euprox	Artiodactyla	7	53	1	1	1	3
Gomphotherium	Proboscidea	7	114	1	1	1	3
Metaschizotherium	Perissodactyla	5	10	1	NA	1	3
Hoploaceratherium	Perissodactyla	4	16	1	1	1	3
Lartetotherium	Perissodactyla	5	40	1	1	1	3
Pliopithecus	Primates	4	28	1	1	1	3
Plesiopliopithecus	Primates	2	5	1	1	1	3
Anisodon	Perissodactyla	7	36	1	1	1	3
Dicrocerus	Artiodactyla	5	39	1	1	1	3
Archaeobelodon	Proboscidea	4	9	1	1	1	3
Zygolophodon	Proboscidea	7	50	1	1	1	3
Deinotherium	Proboscidea	8	76	2	1	1	3
Eotragus	Artiodactyla	4	38	1	1	1	3
Prodeinotherium	Proboscidea	6	54	1	1	1	3
Dryopithecus	Primates	2	14	1	1	1	3
Protragocerus	Artiodactyla	2	18	1	1	1	3
Tethytragus	Artiodactyla	3	21	1	2	1	3
Lagomeryx	Artiodactyla	6	64	1	1	1	3
Procervulus	Artiodactyla	3	79	1	1	1	3
Amphimoschus	Artiodactyla	4	36	2	1	1	3
Plesiaceratherium	Perissodactyla	5	49	2	1	1	3
Prosantorhinus	Perissodactyla	5	39	2	2	1	3
Protaceratherium	Perissodactyla	3	41	2	1	1	3
Brachyodus	Artiodactyla	3	39	1	1	1	3
Diaceratherium	Perissodactyla	3	37	1	1	1	3
Amphitragulus	Artiodactyla	4	30	1	1	1	3
Orygotherium	Artiodactyla	3	5	2	1	1	3
Tapirus	Perissodactyla	11	28	1	1	1	3
Hispanotherium	Perissodactyla	2	24	2	3	1	3
Stehlinoceros	Artiodactyla	3	12	1	1	1	3
Miotragocerus	Artiodactyla	8	52	1	1	1	3
Aceratherium	Perissodactyla	9	44	1	1	1	3
Dihoplus	Perissodactyla	6	36	1	2	1	3
Hippotherium	Perissodactyla	6	59	1	3	1	3
Chalicotherium	Perissodactyla	7	24	2	1	1	3
Amphiprox	Artiodactyla	2	9	2	1	1	3
Tetralophodon	Proboscidea	6	43	1	1	1	3
Hispanopithecus	Primates	3	11	1	1	1	3
Hipparion	Perissodactyla	8	48	1	3	1	3
Decennatherium	Artiodactyla	2	6	1	1	1	3
Hispanomeryx	Artiodactyla	5	15	1	NA	1	3
Triceromeryx	Artiodactyla	1	11	1	1	1	3
Tragoportax	Artiodactyla	5	11	2	2	1	3
Gazella	Artiodactyla	8	32	4	3	1	3
Cremohipparion	Perissodactyla	3	15	1	3	1	3
Birgerbohlinia	Artiodactyla	3	6	1	1	1	3
Pliohyrax	Hyracoidea	3	5	1	1	1	3
Hispanodorcas	Artiodactyla	3	9	1	1	1	3
Procapreolus	Artiodactyla	8	14	2	1	1	3
Anancus	Proboscidea	7	31	1	1	1	3
Croizetoceros	Artiodactyla	6	23	1	1	1	3
Hexaprotodon	Artiodactyla	2	10	1	2	1	3
Parabos	Artiodactyla	3	12	1	3	1	3
Pliocervus	Artiodactyla	1	6	1	2	1	3
Mesopithecus	Primates	6	12	1	1	1	3
Tragoreas	Artiodactyla	4	5	2	2	1	3
Protoryx	Artiodactyla	5	8	1	1	1	3
Stephanorhinus	Perissodactyla	8	64	2	1	1	3
Plesiohipparion	Perissodactyla	3	8	1	3	1	3
Alephis	Artiodactyla	2	6	1	3	1	3
Cervus	Artiodactyla	6	69	3	2	1	3
Maremmia	Artiodactyla	1	7	1	3	1	3
Oreopithecus	Primates	1	7	1	1	1	3
Dolichopithecus	Primates	2	5	1	1	1	3
Mammut	Proboscidea	4	10	1	1	1	3
Capreolus	Artiodactyla	3	20	1	1	1	3
Mammuthus	Proboscidea	5	40	2	3	1	3
Gallogoral	Artiodactyla	1	5	1	3	1	3
Gazellospira	Artiodactyla	3	12	1	3	1	3
Eucladoceros	Artiodactyla	4	16	1	1	1	3
Equus	Perissodactyla	4	69	1	3	1	3
Hemitragus	Artiodactyla	3	6	1	3	1	3
Leptobos	Artiodactyla	4	16	1	3	1	3
Paradolichopithecus	Primates	2	6	1	1	1	3
Oriomeryx	Artiodactyla	3	14	1	1	1	3
Andegameryx	Artiodactyla	3	31	1	1	1	3
Alces	Artiodactyla	3	8	1	1	1	3
Dremotherium	Artiodactyla	2	12	1	1	1	3
Pomelomeryx	Artiodactyla	2	18	1	1	1	3
Bison	Artiodactyla	1	32	1	3	1	3
Ligeromeryx	Artiodactyla	2	19	1	1	1	3
Acteocemas	Artiodactyla	1	6	1	1	1	3
Paratapirus	Perissodactyla	3	18	1	1	1	3
Rangifer	Artiodactyla	1	29	1	1	1	3
Bos	Artiodactyla	1	12	1	3	1	3
Dama	Artiodactyla	1	20	1	1	1	3
Hippopotamus	Artiodactyla	2	12	1	2	1	3
Megaloceros	Artiodactyla	2	20	1	2	1	3
Coelodonta	Perissodactyla	1	21	1	3	1	3
Ovibos	Artiodactyla	1	5	1	3	1	3
Capra	Artiodactyla	2	11	1	3	1	3
Rupicapra	Artiodactyla	1	7	1	3	1	3
Palaeoloxodon	Proboscidea	1	10	1	3	1	3
