TIME_UNIT	TIME_AGE	meanHYP	NO_LOCALITIES_inHYP	meanTAXA_inHYP	meanHYPTAXA_inHYP	diffHYP	diffTIME	diffHYP_perTIME
TU11	6.5	2	5	15.6	15.2	0.13	1	0.13
TU10	5.5	2.13	5	16.4	15.6	0.429	1.5	0.286
TU9	4	1.701	5	17	15.6	0.406	0.4	1.015
TU8	3.6	2.107	11	9.5	8.5	0.017	0.4	0.0425
TU7	3.2	2.124	11	13.7	12.7	0.182	0.4	0.455
TU6	2.8	2.306	6	11.7	11	0.217	0.4	0.5425
TU5	2.4	2.523	7	10.4	10	0.101	0.4	0.2525
TU4	2	2.422	23	14.8	13.9	0.046	0.4	0.115
TU3	1.6	2.376	52	13.2	12.2	0.17	0.4	0.425
TU2	1.2	2.546	15	5.7	5.5	NA	NA	NA
