TIME_UNIT	TIME_AGE	meanHYP	NO_LOCALITIES_inHYP	meanTAXA_inHYP	meanHYPTAXA_inHYP	diffHYP	diffTIME	diffHYP_perTIME	competition	p_ext	p_orig	p_peak	no_alive	no_localities	competition_perTIME	p_orig_perTIME	p_peak_perTIME	p_ext_perTIME
TU9	4	1.701	5	17	15.6	0.406	0.4	1.015	16.2	0.108	0.132	0.297	37	5	40.5	12.5	27.5	10
TU8	3.6	2.107	11	9.5	8.5	0.017	0.4	0.0425	8.75	0.026	0.075	0	38	12	21.875	7.5	0	2.5
TU7	3.2	2.124	11	13.7	12.7	0.182	0.4	0.455	13.364	0.025	0.025	0.075	40	11	33.41	2.5	7.5	2.5
TU6	2.8	2.306	6	11.7	11	0.217	0.4	0.5425	11.5	0.05	0.05	0.15	40	6	28.75	5	15	5
TU5	2.4	2.523	7	10.4	10	0.101	0.4	0.2525	10.286	0	0.07	0.075	40	7	25.715	7.5	7.5	0
TU4	2	2.422	23	14.8	13.9	0.046	0.4	0.115	12.63	0.07	0.024	0.116	43	27	31.575	2.5	12.5	7.5
