TAXON	ORDER	no_times	no_loc	no_hyp	HYP	no_diet	DIET_1
Scaphohippus	Perissodactyla	2	10	1	2	1	3
Cynorca	Artiodactyla	4	5	1	1	1	3
Michenia	Artiodactyla	8	32	1	2	1	3
Procamelus	Artiodactyla	10	40	1	3	1	3
Menoceras	Perissodactyla	4	17	1	1	1	3
Sinclairomeryx	Artiodactyla	3	6	1	2	1	3
Pseudoparablastomeryx	Artiodactyla	4	9	1	1	1	3
Peraceras	Perissodactyla	7	35	1	2	1	3
Teleoceras	Perissodactyla	12	88	2	3	1	3
Blastomeryx	Artiodactyla	7	39	1	2	1	3
Desmatippus	Perissodactyla	4	17	1	2	1	3
Aphelops	Perissodactyla	12	69	1	2	1	3
Hipparion	Perissodactyla	8	24	1	3	1	3
Pediomeryx	Artiodactyla	3	11	2	2	1	3
Sphenophalos	Artiodactyla	3	10	1	3	1	3
Neohipparion	Perissodactyla	7	42	1	3	1	3
Nannippus	Perissodactyla	8	41	1	3	1	3
Dinohippus	Perissodactyla	8	43	1	3	1	3
Tapirus	Perissodactyla	10	17	1	1	1	3
Paracosoryx	Artiodactyla	7	29	1	3	1	3
Yumaceras	Artiodactyla	3	12	1	1	1	3
Mammut	Proboscidea	7	17	1	1	1	3
Hemiauchenia	Artiodactyla	8	59	1	2	1	3
Texoceros	Artiodactyla	5	13	1	3	1	3
Rhynchotherium	Proboscidea	5	13	2	1	1	3
Odocoileus	Artiodactyla	2	16	1	1	1	3
Equus	Perissodactyla	3	72	1	3	1	3
Stegomastodon	Proboscidea	3	29	1	3	1	3
Camelops	Artiodactyla	2	36	1	3	1	3
Protoreodon	Artiodactyla	4	22	1	1	1	3
Leptotragulus	Artiodactyla	4	11	1	1	1	3
Simimeryx	Artiodactyla	3	7	1	1	1	3
Miohippus	Perissodactyla	6	24	1	1	1	3
Merycoides	Artiodactyla	5	28	1	1	1	3
Eotylopus	Artiodactyla	5	9	1	1	1	3
Oreodontoides	Artiodactyla	4	8	1	1	1	3
Tylocephalonyx	Perissodactyla	3	12	1	1	1	3
Leptauchenia	Artiodactyla	8	24	1	3	1	3
Hypisodus	Artiodactyla	5	10	1	2	1	3
Merycochoerus	Artiodactyla	6	35	1	1	1	3
Leptomeryx	Artiodactyla	10	26	1	1	1	3
Hypsiops	Artiodactyla	4	12	1	1	1	3
Pseudolabis	Artiodactyla	3	6	1	2	1	3
Oxydactylus	Artiodactyla	4	13	1	1	1	3
Moropus	Perissodactyla	5	16	1	1	1	3
Barbouromeryx	Artiodactyla	4	11	1	1	1	3
Problastomeryx	Artiodactyla	4	8	1	1	1	3
Aletomeryx	Artiodactyla	2	7	1	2	1	3
Arretotherium	Artiodactyla	3	5	1	1	1	3
Homocamelus	Artiodactyla	5	11	1	2	1	3
Subdromomeryx	Artiodactyla	2	7	1	2	1	3
Lambdoceras	Artiodactyla	4	8	1	2	1	3
Merriamoceros	Artiodactyla	2	6	1	2	1	3
Submeryceros	Artiodactyla	4	9	1	2	1	3
Protohippus	Perissodactyla	6	18	1	3	1	3
Calippus	Perissodactyla	9	26	1	3	1	3
Tapiroidea	Perissodactyla	4	5	1	1	1	3
Zygolophodon	Proboscidea	3	6	1	1	1	3
Floridatragulus	Artiodactyla	3	6	1	1	1	3
Nothotylopus	Artiodactyla	4	8	1	2	1	3
Longirostromeryx	Artiodactyla	4	13	2	1	1	3
Meryceros	Artiodactyla	4	16	1	3	1	3
Pseudohipparion	Perissodactyla	6	21	1	3	1	3
Plioceros	Artiodactyla	4	12	1	3	1	3
Pseudoceras	Artiodactyla	5	8	1	2	1	3
Neotragocerus	Artiodactyla	4	6	1	3	1	3
Platygonus	Artiodactyla	6	46	1	1	1	3
Pleiolama	Artiodactyla	6	14	1	2	1	3
Amebelodon	Proboscidea	3	13	1	1	1	3
Alforjas	Artiodactyla	4	10	1	2	1	3
Gigantocamelus	Artiodactyla	2	18	1	3	1	3
Capromeryx	Artiodactyla	2	17	1	3	1	3
Astrohippus	Perissodactyla	5	12	1	3	1	3
Agriochoerus	Artiodactyla	6	24	1	1	1	3
Poabromylus	Artiodactyla	4	9	1	1	1	3
Hendryomeryx	Artiodactyla	4	8	1	1	1	3
Colodon	Perissodactyla	5	13	1	1	1	3
Bathygenys	Artiodactyla	5	12	1	1	1	3
Prodesmatochoerus	Artiodactyla	5	29	1	1	1	3
Pseudoprotoceras	Artiodactyla	3	5	1	1	1	3
Poebrotherium	Artiodactyla	4	15	1	1	1	3
Parvitragulus	Artiodactyla	3	5	1	1	1	3
Toxotherium	Perissodactyla	4	7	1	1	1	3
Hyracodon	Perissodactyla	6	29	1	2	1	3
Penetrigonias	Perissodactyla	5	10	1	1	1	3
Oreonetes	Artiodactyla	5	11	1	1	1	3
Mesohippus	Perissodactyla	5	25	1	1	1	3
Megacerops	Perissodactyla	4	9	1	1	1	3
Trigonias	Perissodactyla	4	11	1	1	1	3
Blickomylus	Artiodactyla	2	5	1	3	1	3
Duchesneodus	Perissodactyla	1	7	1	1	1	3
Aepinacodon	Artiodactyla	3	6	1	1	1	3
Paratylopus	Artiodactyla	7	7	1	1	1	3
Prosynthetoceras	Artiodactyla	4	6	1	2	1	3
Ilingoceros	Artiodactyla	3	6	1	3	1	3
Cuvieronius	Proboscidea	2	10	1	1	1	3
