TAXON	ORDER	no_times	no_loc	no_hyp	HYP	no_diet	DIET_1
Sespia	Artiodactyla	3	15	1	3	1	3
Eporeodon	Artiodactyla	4	29	1	1	1	3
Miotylopus	Artiodactyla	3	9	1	3	1	3
Nanotragulus	Artiodactyla	4	20	1	1	1	3
Subhyracodon	Perissodactyla	5	13	1	1	1	3
Hypertragulus	Artiodactyla	5	14	1	1	1	3
Diceratherium	Perissodactyla	7	30	1	1	1	3
Kalobatippus	Perissodactyla	4	9	1	1	1	3
Merychyus	Artiodactyla	12	95	1	2	1	3
Stenomylus	Artiodactyla	5	15	1	3	1	3
Miolabis	Artiodactyla	5	28	1	2	1	3
Parahippus	Perissodactyla	6	27	1	2	1	3
Tanymykter	Artiodactyla	2	6	1	2	1	3
Pseudoblastomeryx	Artiodactyla	3	9	1	1	1	3
Archaeohippus	Perissodactyla	6	28	1	1	1	3
Merychippus	Perissodactyla	6	56	1	2	1	3
Anchitherium	Perissodactyla	3	13	1	1	1	3
Ticholeptus	Artiodactyla	4	22	1	2	1	3
Aepycamelus	Artiodactyla	8	47	1	2	1	3
Merycodus	Artiodactyla	9	37	2	3	1	3
Parapliohippus	Perissodactyla	3	10	1	2	1	3
Acritohippus	Perissodactyla	3	23	1	2	1	3
Brachycrus	Artiodactyla	3	29	2	2	1	3
Cranioceras	Artiodactyla	6	28	1	1	1	3
Hypohippus	Perissodactyla	7	44	1	1	1	3
Hesperhys	Artiodactyla	6	15	1	1	1	3
Protolabis	Artiodactyla	7	42	1	2	1	3
Rakomeryx	Artiodactyla	3	14	1	1	1	3
Paramiolabis	Artiodactyla	4	18	1	2	1	3
Gomphotherium	Proboscidea	8	33	1	1	1	3
Ramoceros	Artiodactyla	4	16	1	3	1	3
Cosoryx	Artiodactyla	5	24	1	3	1	3
Megahippus	Perissodactyla	5	20	1	1	1	3
Cormohipparion	Perissodactyla	9	55	1	3	1	3
Pliohippus	Perissodactyla	10	54	1	3	1	3
Megatylopus	Artiodactyla	10	56	1	2	1	3
Bouromeryx	Artiodactyla	4	23	1	1	1	3
Dromomeryx	Artiodactyla	4	31	1	1	1	3
Hesperocamelus	Artiodactyla	4	7	1	2	1	3
