LOCATION	TIME_UNIT	MEAN_AGE	NO_TAXA	LAT	LONG	NO_HYP_TAXA	MEAN_HYP
10047	Arikareean-1	29.05	1	34.5	-120.25	1	3
10048	Arikareean-1	29.05	5	40.66666667	-117.9583333	5	1.8
10049	Arikareean-2	25.55	4	34.918056	-118.965	4	1
10050	Arikareean-3	21.25	1	35.49	-118.826667	1	1
10051	Arikareean-4	19.15	4	34.469167	-118.430278	4	2.25
10052	Hemingfordian-1	18.15	7	38.555605	-121.468926	7	1.571
10053	Hemingfordian-1	18.15	1	38.555605	-121.468926	1	2
10054	Hemingfordian-2	16.75	6	34.737778	-119.238056	6	2.167
10055	Barstovian-1	15.4	10	34.995278	-119.575278	10	1.9
10056	Barstovian-1	15.4	11	34.765278	-119.245278	11	1.727
10057	Barstovian-1	15.4	6	34.765278	-119.235556	6	1.833
10058	Barstovian-2	13.65	3	38.555605	-121.468926	3	2
10059	Clarendonian-2	11.1	9	34.821111	-119.336667	9	2.111
10060	Clarendonian-3	9.55	8	34.803056	-119.2925	8	2.25
10062	Hemingfordian-2	16.75	2	38.555605	-121.468926	2	2
10063	Hemingfordian-1	18.15	1	38.555605	-121.468926	1	2
10064	Hemingfordian-2	16.75	5	34.851389	-119.553611	5	1.6
10014	Bridgerian-2	47.95	1	32.715	-117.1625	1	1
10065	Hemingfordian-2	16.75	2	35.485556	-118.889722	2	1.5
10066	Hemingfordian-2	16.75	7	35.191111	-118.323889	7	2
10067	Barstovian-1	15.4	6	35.19	-118.316389	6	2
10068	Barstovian-2	13.65	8	35.19	-118.316389	8	1.875
10069	Hemingfordian-2	16.75	11	34.298333	-117.468889	11	1.909
10070	Barstovian-2	13.65	4	34.323333	-117.486111	4	1.75
10071	Barstovian-2	13.65	6	38.555605	-121.468926	6	1.667
10074	Barstovian-1	15.4	8	38.555605	-121.468926	8	1.625
10075	Barstovian-2	13.65	1	38.555605	-121.468926	1	2
10080	Barstovian-2	13.65	2	37.84	-120.643611	2	3
10082	Hemphillian-4	5.4	9	37.600278	-120.579167	9	2.889
