TIME_UNIT	MEAN_AGE	NO_LOCALITIES	NO_TAXA	NO_SPECIMEN
MN02	21.4	34	25	100
MN03	19	64	25	251
MN04	17.5	57	38	260
MN05	16.1	106	43	600
MN06	13.85	64	31	241
MN07	11.85	86	43	301
MN09	10.35	74	43	318
MN10	9.25	23	29	96
MN11	8.6	13	38	79
MN12	7.65	26	30	108
MN13	6.2	25	31	122
MN14	4.75	21	22	70
MN15	3.8	13	27	55
MN16	3	15	29	97
MN17	2.28	15	23	119
MQ18	1.54	5	13	19
MQ19	0.08	78	24	381
