records	3070
no taxa	102
HYP values	3006
DIET_1=p	3070
DIET_1=a	0
DIET_1=o	0
DIET_1=NA	0
time units	17
localities	709
mean taxa per locality	4.2
mean hyp taxa per locality	3.6
