LOCATION	TIME_UNIT	MEAN_AGE	NO_TAXA	LAT	LONG	NO_HYP_TAXA	MEAN_HYP
2	TU8	3.6	5	NA	NA	4	2.25
3	TU8	3.6	13	NA	NA	12	2.417
4	TU8	3.6	13	NA	NA	12	2.25
10	TU8	3.6	21	NA	NA	19	2.105
11	TU8	3.6	14	NA	NA	13	1.846
70017	TU9	4	7	NA	NA	6	1.167
70018	TU9	4	5	NA	NA	4	1.25
17	TU3	1.6	22	NA	NA	21	2.19
20	TU3	1.6	18	NA	NA	17	2
21	TU3	1.6	3	NA	NA	3	1.667
23	TU3	1.6	15	NA	NA	14	2.429
24	TU3	1.6	14	NA	NA	13	2.231
25	TU3	1.6	7	NA	NA	7	2.571
27	TU3	1.6	18	NA	NA	17	2.412
28	TU3	1.6	15	NA	NA	15	2.133
29	TU4	2	4	NA	NA	4	2
31	TU3	1.6	4	NA	NA	3	2.667
32	TU3	1.6	6	NA	NA	5	2.8
33	TU3	1.6	24	NA	NA	22	2.364
35	TU4	2	10	NA	NA	10	2.5
36	TU3	1.6	10	NA	NA	10	2.4
37	TU3	1.6	5	NA	NA	4	2.75
38	TU3	1.6	16	NA	NA	15	2.467
39	TU4	2	12	NA	NA	10	2.5
41	TU4	2	15	NA	NA	13	2.462
43	TU3	1.6	17	NA	NA	16	2.5
44	TU4	2	3	NA	NA	3	2.333
50	TU4	2	20	NA	NA	18	2.556
51	TU3	1.6	4	NA	NA	4	3
52	TU3	1.6	5	NA	NA	5	2.4
53	TU3	1.6	20	NA	NA	19	2.474
54	TU3	1.6	10	NA	NA	9	2.556
55	TU3	1.6	29	NA	NA	27	2.407
56	TU4	2	19	NA	NA	18	2.278
58	TU3	1.6	31	NA	NA	29	2.379
59	TU3	1.6	23	NA	NA	21	2.333
61	TU4	2	3	NA	NA	3	2.667
63	TU3	1.6	27	NA	NA	26	2.346
64	TU4	2	13	NA	NA	12	2.25
67	TU4	2	30	NA	NA	28	2.286
68	TU3	1.6	24	NA	NA	22	2.227
69	TU3	1.6	15	NA	NA	13	2.462
70	TU4	2	2	NA	NA	2	1.5
73	TU4	2	16	NA	NA	15	2.2
74	TU4	2	16	NA	NA	16	2.438
76	TU4	2	1	NA	NA	1	3
81	TU4	2	5	NA	NA	5	2.4
82	TU3	1.6	17	NA	NA	16	2.188
84	TU3	1.6	7	NA	NA	6	2.5
86	TU3	1.6	15	NA	NA	15	2.333
90	TU3	1.6	26	NA	NA	24	2.417
91	TU4	2	15	NA	NA	15	1.8
93	TU3	1.6	10	NA	NA	9	2.556
97	TU3	1.6	4	NA	NA	4	2.25
100	TU4	2	19	NA	NA	18	2.611
101	TU3	1.6	4	NA	NA	3	3
102	TU3	1.6	1	NA	NA	1	2
103	TU4	2	29	NA	NA	27	2.296
104	TU3	1.6	12	NA	NA	10	2.4
108	TU4	2	29	NA	NA	28	2.286
109	TU3	1.6	4	NA	NA	4	2.5
110	TU3	1.6	8	NA	NA	8	2.5
114	TU8	3.6	4	NA	NA	3	1.667
115	TU8	3.6	4	NA	NA	3	2.667
120	TU8	3.6	2	NA	NA	1	3
121	TU8	3.6	7	NA	NA	6	2
122	TU8	3.6	4	NA	NA	3	2.333
123	TU8	3.6	14	NA	NA	13	1.846
124	TU8	3.6	5	NA	NA	5	1.8
126	TU2	1.2	4	NA	NA	4	2.75
70131	TU9	4	18	NA	NA	16	1.938
70132	TU9	4	34	NA	NA	32	2
70133	TU9	4	21	NA	NA	20	2.15
50134	TU11	6.5	14	NA	NA	14	2.143
50135	TU11	6.5	13	NA	NA	13	1.923
50136	TU11	6.5	18	NA	NA	17	2.059
50137	TU11	6.5	17	NA	NA	16	2
50138	TU11	6.5	16	NA	NA	16	1.875
60135	TU10	5.5	15	NA	NA	14	2.071
60136	TU10	5.5	15	NA	NA	14	2.214
60137	TU10	5.5	17	NA	NA	17	2.059
60138	TU10	5.5	17	NA	NA	17	2.118
60139	TU10	5.5	18	NA	NA	16	2.188
137	TU7	3.2	10	NA	NA	9	2.222
143	TU7	3.2	7	NA	NA	7	2.286
144	TU7	3.2	22	NA	NA	21	2.19
145	TU7	3.2	7	NA	NA	6	1.833
146	TU4	2	1	NA	NA	1	2
151	TU7	3.2	16	NA	NA	15	2.067
153	TU7	3.2	14	NA	NA	13	2.154
154	TU7	3.2	6	NA	NA	6	2
155	TU7	3.2	10	NA	NA	9	2.556
156	TU7	3.2	25	NA	NA	23	2.174
157	TU7	3.2	28	NA	NA	26	2.077
162	TU7	3.2	6	NA	NA	5	1.8
172	TU3	1.6	20	NA	NA	19	2.263
173	TU3	1.6	3	NA	NA	3	2.333
176	TU3	1.6	17	NA	NA	15	2.467
177	TU3	1.6	18	NA	NA	16	2.312
178	TU2	1.2	3	NA	NA	3	2.333
180	TU3	1.6	7	NA	NA	7	2.286
181	TU2	1.2	4	NA	NA	4	2.75
183	TU3	1.6	18	NA	NA	17	2.235
184	TU3	1.6	15	NA	NA	14	2.286
186	TU3	1.6	17	NA	NA	16	2.438
187	TU3	1.6	3	NA	NA	3	2.333
80190	TU6	2.8	15	NA	NA	14	2.143
80191	TU6	2.8	18	NA	NA	16	2.188
190	TU3	1.6	2	NA	NA	2	1.5
191	TU3	1.6	1	NA	NA	1	1
192	TU3	1.6	4	NA	NA	3	1.333
193	TU3	1.6	6	NA	NA	5	2.2
194	TU4	2	7	NA	NA	7	2.857
195	TU4	2	12	NA	NA	11	2.818
197	TU2	1.2	2	NA	NA	1	3
198	TU2	1.2	4	NA	NA	4	2.25
200	TU4	2	13	NA	NA	12	2.667
202	TU2	1.2	16	NA	NA	15	2.533
204	TU2	1.2	6	NA	NA	5	2.8
205	TU3	1.6	10	NA	NA	9	2.556
206	TU5	2.4	4	NA	NA	4	2.75
207	TU2	1.2	3	NA	NA	3	3
208	TU3	1.6	13	NA	NA	11	2.636
209	TU3	1.6	13	NA	NA	13	2.385
211	TU5	2.4	12	NA	NA	12	2.333
212	TU5	2.4	16	NA	NA	15	2.467
214	TU5	2.4	5	NA	NA	5	2.8
215	TU4	2	12	NA	NA	11	2.455
216	TU2	1.2	6	NA	NA	6	2.5
217	TU3	1.6	8	NA	NA	6	1.833
218	TU5	2.4	15	NA	NA	15	2.333
80221	TU6	2.8	8	NA	NA	7	2.429
80222	TU6	2.8	7	NA	NA	7	2.429
221	TU5	2.4	6	NA	NA	6	2.667
222	TU5	2.4	15	NA	NA	13	2.308
223	TU4	2	2	NA	NA	2	3
224	TU4	2	10	NA	NA	9	2.778
80226	TU6	2.8	12	NA	NA	12	2.25
80227	TU6	2.8	10	NA	NA	10	2.4
227	TU2	1.2	4	NA	NA	4	3
228	TU2	1.2	15	NA	NA	13	2.462
229	TU2	1.2	7	NA	NA	7	2.143
232	TU1	0.1	2	NA	NA	2	3
233	TU2	1.2	3	NA	NA	3	2.667
234	TU2	1.2	3	NA	NA	3	2
235	TU2	1.2	3	NA	NA	3	2
236	TU4	2	28	NA	NA	26	2.269
237	TU2	1.2	3	NA	NA	2	3
240	TU3	1.6	13	NA	NA	12	2.417
241	TU3	1.6	11	NA	NA	9	2.444
242	TU2	1.2	5	NA	NA	5	3
