TIME_UNIT	TIME_AGE	meanHYP	no_localities	no_observed	no_taxa	no_alive	no_first	no_peak	no_last
TU11	6.5	2	5	71	21	21	6	5	0
TU10	5.5	2.13	5	80	25	27	10	11	0
TU9	4	1.701	5	81	34	37	5	11	4
TU8	3.6	2.107	12	105	33	38	3	0	1
TU7	3.2	2.124	11	147	34	40	1	3	1
TU6	2.8	2.306	6	69	29	40	2	6	2
TU5	2.4	2.523	7	72	26	40	3	3	0
TU4	2	2.422	27	341	39	43	1	5	3
TU3	1.6	2.376	55	678	41	41	0	8	17
TU2	1.2	2.546	17	88	24	24	0	0	24
