TIME_UNIT	MEAN_AGE	NO_LOCALITIES	NO_TAXA	NO_SPECIMEN
TU11	6.5	5	25	531
TU10	5.5	5	27	426
TU9	4	5	38	510
TU8	3.6	12	34	364
TU7	3.2	11	37	835
TU6	2.8	6	30	208
TU5	2.4	7	27	176
TU4	2	27	43	1831
TU3	1.6	55	48	2765
TU2	1.2	17	26	203
