MN02	MN03	MN04	MN05	MN06	MN07	MN09	MN10	MN11	MN12	MN13	MN14	MN15	MN16	MN17	MQ18	MQ19	
0	0	0	0	0	0	0	0	0	0	0	0.2	0.077	0.2	0	0	0	Plesiohipparion
0	0	0	0	0	0	0	0	0	0	0	0.15	0.231	0	0	0	0	Alephis
0	0	0	0	0	0	0	0	0	0	0	0.25	0.231	0.467	0.6	0.2	0.571	Cervus
0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	Maremmia
0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	Oreopithecus
0	0	0	0	0	0	0	0	0	0	0	0.1	0.231	0	0	0	0	Dolichopithecus
0	0	0	0	0	0	0	0	0	0.04	0.04	0	0.231	0.333	0	0	0	Mammut
0	0	0	0	0	0	0	0	0	0	0	0	0.077	0.067	0	0	0.234	Capreolus
0	0	0	0	0	0	0	0	0	0	0	0	0.077	0.133	0.333	0.4	0.39	Mammuthus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333	0	0	Gallogoral
0	0	0	0	0	0	0	0	0	0	0	0	0.077	0.133	0.6	0	0	Gazellospira
0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.733	0.2	0.013	Eucladoceros
0	0	0	0	0	0	0	0	0	0	0	0	0	0.267	0.533	0.6	0.701	Equus
0	0	0	0	0	0	0	0	0	0	0	0	0.077	0	0.067	0	0.052	Hemitragus
0	0	0	0	0	0	0	0	0	0	0	0	0.077	0.2	0.733	0.2	0	Leptobos
0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0	0	Paradolichopithecus
0.133	0.141	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oriomeryx
0.233	0.359	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Andegameryx
0	0	0	0	0	0	0	0	0	0	0	0	0.077	0	0	0.2	0.078	Alces
0.367	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	Dremotherium
0.367	0.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pomelomeryx
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.416	Bison
0	0.281	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ligeromeryx
